,name,twitter_handle
552,Philippa Whitford,Dr_PhilippaW
553,Mickey Brady,mickeybrady4mp
554,Danny Kruger,Unknown field
555,Edward Argar,Unknown field
556,Tracey Crouch,tracey_crouch
557,Apsana Begum,Unknown field
558,Peter Kyle,peterkyle
559,Ian Paisley Jnr,ianpaisleymp
560,Christine Jardine,CajardineMP
561,Fiona Bruce,Unknown field
562,Luke Pollard,LukePollard
563,Tommy Sheppard,tommysheppard
564,Kwasi Kwarteng,KwasiKwarteng_
565,Tom Pursglove,votepursglove
566,Colleen Fletcher,Unknown field
567,Taiwo Owatemi,Unknown field
568,Aaron Bell,Unknown field
569,Grant Shapps,grantshapps
570,Craig Mackinlay,cmackinlay
571,Jon Cruddas,JonCruddas_1
572,Amanda Solloway,ASollowayUK
573,Liam Fox,LiamFox
574,Lucy Frazer,lucyfrazermp
575,Marco Longhi,Unknown field
576,Carla Lockhart,carlalockhart
577,Flick Drummond,FlickD
578,Justin Madders,justinmadders
579,Chris Loder,Unknown field
580,Richard Thomson,Unknown field
581,Gagan Mohindra,Unknown field
582,James Morris,JamesMorris
583,Afzal Khan,Afzal4Gorton
584,Jeff Smith,jeffsmithetc
585,Jane Hunt,Unknown field
586,John Howell,JHowellUK
587,Johnny Mercer,JohnnyMercerUK
588,Robert Syms,robertsymsMP
589,Jesse Norman,Jesse_Norman
590,Marcus Fysh,marcusfysh
591,Peter Bottomley,PBottomleyMP
592,Robbie Moore,Unknown field
593,Michael Tomlinson,michael4mdnp
594,Pauline Latham,Pauline_Latham
595,Steve Brine,BrineMP
596,Christopher Chope,Unknown field
597,Mark Eastwood,Unknown field
598,Scott Mann,scottmannmp
599,Theresa Villiers,Unknown field
600,Matthew Offord,Offord4Hendon
601,Roger Gale,Unknown field
602,Layla Moran,laylamoran
603,Ian Blackford,Ianblackford_MP
604,David Johnston,Unknown field
605,Sheryll Murray,sheryllmurray
606,Elizabeth Truss,trussliz
607,Greg Smith,Unknown field
608,Steve Double,stevedouble
609,Therese Coffey,theresecoffey
610,Andrew Bowie,AndrewBowieMP
611,Suzanne Webb,Unknown field
612,Brendan O'Hara,BrendanOHaraMP
613,Kevin Hollinrake,kevinhollinrake
614,Jason McCartney,JasonMcCartney
615,Gary Streeter,garystreeterSWD
616,Alistair Carmichael,amcarmichaelMP
617,Steve Reed,SteveReedMP
618,Simon Hoare,simon4ndorset
619,Alex Chalk,alexchalkchelt
620,Chris Philp,CPhilpOfficial
621,Jeremy Quin,Unknown field
622,Michelle Gildernew,gildernewm
623,Geoffrey Cox,Geoffrey_Cox
624,Andrea Leadsom,andrealeadsom
625,Andrew Griffith,Unknown field
626,Derek Thomas,DerekThomasMP
627,Jonathan Edwards,JonathanPlaid
628,Anum Qaisar,Unknown field
629,Neale Hanvey,Unknown field
630,Sarah Green,Unknown field
631,Kim Leadbeater,Unknown field
632,Kenny MacAskill,Unknown field
633,Louie French,Unknown field
634,Rob Roberts,Unknown field
635,Helen Morgan,Unknown field
636,Christian Wakeford,Unknown field
637,Anna Firth,Unknown field
638,Paulette Hamilton,Unknown field
639,Simon Lightwood,Unknown field
640,Richard Foord,Unknown field
641,Julian Lewis,Unknown field
642,Samantha Dixon,Unknown field
643,Andrew Western,Unknown field
644,Ashley Dalton,Unknown field
645,Steve Tuckwell,Unknown field
646,Sarah Dyke,Unknown field
647,Keir Mather,Unknown field
